krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,A-izhodisce,obremenitev,10,alertmanager,0.85,20MiB
1,B-brez-stdout,mirovanje,1,prometheus,0.03,50.73MiB
1,B-brez-stdout,mirovanje,1,node-exporter,0.00,8.547MiB
1,B-brez-stdout,mirovanje,1,cadvisor,3.60,43.95MiB
1,B-brez-stdout,mirovanje,1,grafana,0.25,53.39MiB
1,B-brez-stdout,mirovanje,1,elasticsearch,3.08,1.96GiB
1,B-brez-stdout,mirovanje,1,kibana,10.69,650.3MiB
1,B-brez-stdout,mirovanje,1,logstash,12.37,671.1MiB
1,B-brez-stdout,mirovanje,1,alertmanager,0.21,20.53MiB
1,B-brez-stdout,mirovanje,2,prometheus,2.12,50.75MiB
1,B-brez-stdout,mirovanje,2,node-exporter,3.53,8.574MiB
1,B-brez-stdout,mirovanje,2,cadvisor,3.56,44.42MiB
1,B-brez-stdout,mirovanje,2,grafana,0.15,53.39MiB
1,B-brez-stdout,mirovanje,2,elasticsearch,79.29,1.96GiB
1,B-brez-stdout,mirovanje,2,kibana,19.90,650.3MiB
1,B-brez-stdout,mirovanje,2,logstash,17.52,671.3MiB
1,B-brez-stdout,mirovanje,2,alertmanager,0.28,20.53MiB
1,B-brez-stdout,mirovanje,3,prometheus,0.00,50.74MiB
1,B-brez-stdout,mirovanje,3,node-exporter,0.00,8.574MiB
1,B-brez-stdout,mirovanje,3,cadvisor,3.13,44.43MiB
1,B-brez-stdout,mirovanje,3,grafana,0.29,53.39MiB
1,B-brez-stdout,mirovanje,3,elasticsearch,3.06,1.96GiB
1,B-brez-stdout,mirovanje,3,kibana,11.15,650.3MiB
1,B-brez-stdout,mirovanje,3,logstash,7.51,671.4MiB
1,B-brez-stdout,mirovanje,3,alertmanager,0.65,20.53MiB
1,B-brez-stdout,mirovanje,4,prometheus,0.14,50.74MiB
1,B-brez-stdout,mirovanje,4,node-exporter,0.00,8.574MiB
1,B-brez-stdout,mirovanje,4,cadvisor,5.33,44.42MiB
1,B-brez-stdout,mirovanje,4,grafana,0.06,53.4MiB
1,B-brez-stdout,mirovanje,4,elasticsearch,2.20,1.96GiB
1,B-brez-stdout,mirovanje,4,kibana,11.20,650.3MiB
1,B-brez-stdout,mirovanje,4,logstash,6.49,671.5MiB
1,B-brez-stdout,mirovanje,4,alertmanager,0.25,20.53MiB
1,B-brez-stdout,mirovanje,5,prometheus,0.49,50.75MiB
1,B-brez-stdout,mirovanje,5,node-exporter,0.00,8.57MiB
1,B-brez-stdout,mirovanje,5,cadvisor,6.49,44.42MiB
1,B-brez-stdout,mirovanje,5,grafana,0.63,53.4MiB
1,B-brez-stdout,mirovanje,5,elasticsearch,2.51,1.96GiB
1,B-brez-stdout,mirovanje,5,kibana,12.93,650.3MiB
1,B-brez-stdout,mirovanje,5,logstash,3.81,671.8MiB
1,B-brez-stdout,mirovanje,5,alertmanager,1.61,20.55MiB
1,B-brez-stdout,mirovanje,6,prometheus,0.09,50.75MiB
1,B-brez-stdout,mirovanje,6,node-exporter,0.00,8.57MiB
1,B-brez-stdout,mirovanje,6,cadvisor,3.53,44.43MiB
1,B-brez-stdout,mirovanje,6,grafana,0.14,53.4MiB
1,B-brez-stdout,mirovanje,6,elasticsearch,2.78,1.96GiB
1,B-brez-stdout,mirovanje,6,kibana,9.02,650.3MiB
1,B-brez-stdout,mirovanje,6,logstash,2.71,672.2MiB
1,B-brez-stdout,mirovanje,6,alertmanager,0.71,19.38MiB
1,B-brez-stdout,mirovanje,7,prometheus,0.00,50.74MiB
1,B-brez-stdout,mirovanje,7,node-exporter,0.00,8.57MiB
1,B-brez-stdout,mirovanje,7,cadvisor,3.20,44.43MiB
1,B-brez-stdout,mirovanje,7,grafana,0.55,53.4MiB
1,B-brez-stdout,mirovanje,7,elasticsearch,3.28,1.96GiB
1,B-brez-stdout,mirovanje,7,kibana,10.95,650.3MiB
1,B-brez-stdout,mirovanje,7,logstash,4.39,672.7MiB
1,B-brez-stdout,mirovanje,7,alertmanager,0.53,19.38MiB
1,B-brez-stdout,mirovanje,8,prometheus,0.12,50.75MiB
1,B-brez-stdout,mirovanje,8,node-exporter,0.00,8.578MiB
1,B-brez-stdout,mirovanje,8,cadvisor,1.32,44.82MiB
1,B-brez-stdout,mirovanje,8,grafana,0.10,53.4MiB
1,B-brez-stdout,mirovanje,8,elasticsearch,1.36,1.96GiB
1,B-brez-stdout,mirovanje,8,kibana,5.72,650.3MiB
1,B-brez-stdout,mirovanje,8,logstash,1.63,672.8MiB
1,B-brez-stdout,mirovanje,8,alertmanager,0.65,19.38MiB
1,B-brez-stdout,mirovanje,9,prometheus,0.32,50.75MiB
1,B-brez-stdout,mirovanje,9,node-exporter,0.00,8.578MiB
1,B-brez-stdout,mirovanje,9,cadvisor,1.80,44.82MiB
1,B-brez-stdout,mirovanje,9,grafana,0.27,53.4MiB
1,B-brez-stdout,mirovanje,9,elasticsearch,1.96,1.96GiB
1,B-brez-stdout,mirovanje,9,kibana,7.75,650.3MiB
1,B-brez-stdout,mirovanje,9,logstash,5.32,672.9MiB
1,B-brez-stdout,mirovanje,9,alertmanager,0.19,19.38MiB
1,B-brez-stdout,mirovanje,10,prometheus,0.31,50.75MiB
1,B-brez-stdout,mirovanje,10,node-exporter,0.00,8.578MiB
1,B-brez-stdout,mirovanje,10,cadvisor,4.86,44.84MiB
1,B-brez-stdout,mirovanje,10,grafana,0.05,53.4MiB
1,B-brez-stdout,mirovanje,10,elasticsearch,1.02,1.96GiB
1,B-brez-stdout,mirovanje,10,kibana,5.98,650.3MiB
1,B-brez-stdout,mirovanje,10,logstash,18.77,673MiB
1,B-brez-stdout,mirovanje,10,alertmanager,0.24,19.38MiB
1,B-brez-stdout,obremenitev,1,prometheus,0.06,49.15MiB
1,B-brez-stdout,obremenitev,1,node-exporter,0.00,8.914MiB
1,B-brez-stdout,obremenitev,1,cadvisor,2.05,44.54MiB
1,B-brez-stdout,obremenitev,1,grafana,0.37,53.41MiB
1,B-brez-stdout,obremenitev,1,elasticsearch,7.26,1.961GiB
1,B-brez-stdout,obremenitev,1,kibana,9.08,650.3MiB
1,B-brez-stdout,obremenitev,1,logstash,28.21,761.7MiB
1,B-brez-stdout,obremenitev,1,alertmanager,0.50,20.08MiB
1,B-brez-stdout,obremenitev,2,prometheus,0.33,49.15MiB
1,B-brez-stdout,obremenitev,2,node-exporter,0.00,8.914MiB
1,B-brez-stdout,obremenitev,2,cadvisor,2.60,44.59MiB
1,B-brez-stdout,obremenitev,2,grafana,0.23,53.41MiB
1,B-brez-stdout,obremenitev,2,elasticsearch,17.13,1.961GiB
1,B-brez-stdout,obremenitev,2,kibana,12.50,650.3MiB
1,B-brez-stdout,obremenitev,2,logstash,28.95,761.7MiB
1,B-brez-stdout,obremenitev,2,alertmanager,0.37,20.08MiB
1,B-brez-stdout,obremenitev,3,prometheus,1.00,49.15MiB
1,B-brez-stdout,obremenitev,3,node-exporter,0.00,8.914MiB
1,B-brez-stdout,obremenitev,3,cadvisor,7.53,44.58MiB
1,B-brez-stdout,obremenitev,3,grafana,0.04,53.41MiB
1,B-brez-stdout,obremenitev,3,elasticsearch,11.66,1.961GiB
1,B-brez-stdout,obremenitev,3,kibana,15.10,650.4MiB
1,B-brez-stdout,obremenitev,3,logstash,25.20,762.2MiB
1,B-brez-stdout,obremenitev,3,alertmanager,0.20,20.08MiB
1,B-brez-stdout,obremenitev,4,prometheus,0.00,49.15MiB
1,B-brez-stdout,obremenitev,4,node-exporter,0.00,8.516MiB
1,B-brez-stdout,obremenitev,4,cadvisor,6.82,44.58MiB
1,B-brez-stdout,obremenitev,4,grafana,0.14,53.41MiB
1,B-brez-stdout,obremenitev,4,elasticsearch,10.95,1.961GiB
