krog,nacin,vzorec,komponenta,cpu_raw
4,nestrukturirano,4,grafana,0.15
4,nestrukturirano,4,elasticsearch,4.74
4,nestrukturirano,4,kibana,8.10
4,nestrukturirano,4,logstash,18.03
4,nestrukturirano,4,alertmanager,0.29
4,nestrukturirano,5,prometheus,0.00
4,nestrukturirano,5,node-exporter,0.00
4,nestrukturirano,5,cadvisor,3.33
4,nestrukturirano,5,grafana,0.08
4,nestrukturirano,5,elasticsearch,1.86
4,nestrukturirano,5,kibana,7.59
4,nestrukturirano,5,logstash,6.75
4,nestrukturirano,5,alertmanager,0.34
4,nestrukturirano,6,prometheus,0.00
4,nestrukturirano,6,node-exporter,0.00
4,nestrukturirano,6,cadvisor,3.06
4,nestrukturirano,6,grafana,0.03
4,nestrukturirano,6,elasticsearch,2.50
4,nestrukturirano,6,kibana,6.73
4,nestrukturirano,6,logstash,4.33
4,nestrukturirano,6,alertmanager,0.18
4,nestrukturirano,7,prometheus,0.23
4,nestrukturirano,7,node-exporter,2.06
4,nestrukturirano,7,cadvisor,2.36
4,nestrukturirano,7,grafana,0.17
4,nestrukturirano,7,elasticsearch,1.90
4,nestrukturirano,7,kibana,7.54
4,nestrukturirano,7,logstash,3.37
4,nestrukturirano,7,alertmanager,0.17
4,nestrukturirano,8,prometheus,0.00
4,nestrukturirano,8,node-exporter,0.00
4,nestrukturirano,8,cadvisor,2.29
4,nestrukturirano,8,grafana,0.09
4,nestrukturirano,8,elasticsearch,7.42
4,nestrukturirano,8,kibana,9.17
4,nestrukturirano,8,logstash,4.26
4,nestrukturirano,8,alertmanager,0.34
4,nestrukturirano,9,prometheus,0.00
4,nestrukturirano,9,node-exporter,0.00
4,nestrukturirano,9,cadvisor,3.97
4,nestrukturirano,9,grafana,0.27
4,nestrukturirano,9,elasticsearch,1.87
4,nestrukturirano,9,kibana,7.46
4,nestrukturirano,9,logstash,5.29
4,nestrukturirano,9,alertmanager,0.16
4,nestrukturirano,10,prometheus,0.63
4,nestrukturirano,10,node-exporter,3.52
4,nestrukturirano,10,cadvisor,1.75
4,nestrukturirano,10,grafana,0.18
4,nestrukturirano,10,elasticsearch,2.22
4,nestrukturirano,10,kibana,8.65
4,nestrukturirano,10,logstash,5.94
4,nestrukturirano,10,alertmanager,0.18
